Budget_ID,Date_ID,Budget_Period,Account_ID,Business_Line_ID,Employee_ID,Budget_Version,Budget_Type,Budget_Category,Cost_Center,Project_Code,Budgeted_Amount,Actual_Amount,Committed_Amount,Forecast_Amount,Budget_Owner,Approval_Status,Approved_By,Notes,Approval_Date,Last_Modified_Date,Variance,Variance_Pct,Available_Budget,Utilization_Pct,Forecast_Variance
1078,20250911,2025-09-11 00:00:00,ACC40002,BL006,EMP00163,V2_Revised,Rolling,OPEX,CC-9735,PROJ-002,11525.02,44692.93,76312.7,71043.97,EMP00210,Approved,EMP00061,,2025-09-25 00:00:00,2025-09-26 00:00:00,33167.91,287.79,-64787.68,387.79,59518.95
1079,20250319,2025-03-19 00:00:00,ACC40001,BL003,EMP00177,V2_Revised,Quarterly,OPEX,CC-4810,,25878.34,56997.32,75312.12,12685.48,EMP00205,Approved,EMP00076,On Track,2025-04-02 00:00:00,2025-04-05 00:00:00,31118.98,120.25,-49433.78,220.25,-13192.86
1080,20230912,2023-09-12 00:00:00,ACC10001,BL005,EMP00143,V3_Final,Monthly,Revenue,CC-2240,,60275.81,105074.07,51192.46,55984.32,EMP00102,Approved,EMP00180,,2023-09-20 00:00:00,2023-10-06 00:00:00,44798.26,74.32,9083.35,174.32,-4291.49
1081,20251221,2025-12-21 00:00:00,ACC30002,BL006,EMP00119,V2_Revised,Annual,OPEX,CC-7332,PROJ-003,98768.76,78189.63,26329.69,81696.11,EMP00114,Approved,EMP00061,,2025-12-25 00:00:00,2026-01-14 00:00:00,-20579.13,-20.84,72439.07,79.16,-17072.65
1082,20250404,2025-04-04 00:00:00,ACC30004,BL006,EMP00209,V1_Original,Annual,Headcount,CC-2497,,40291.55,1479.45,47628.36,46860.6,EMP00011,Approved,EMP00247,,2025-04-13 00:00:00,2025-04-15 00:00:00,-38812.1,-96.33,-7336.81,3.67,6569.05
1083,20250205,2025-02-05 00:00:00,ACC50001,BL001,EMP00148,V1_Original,Annual,OPEX,CC-2826,PROJ-001,38771.83,83142.36,46553.9,52824.29,EMP00031,Approved,EMP00080,Over Budget,2025-02-16 00:00:00,2025-02-06 00:00:00,44370.53,114.44,-7782.07,214.44,14052.46
1084,20250327,2025-03-27 00:00:00,ACC30002,BL006,EMP00009,V1_Original,Quarterly,OPEX,CC-7688,,64055.4,72315.14,35725.29,83884.13,EMP00127,Approved,EMP00013,Under Budget,2025-03-29 00:00:00,2025-04-12 00:00:00,8259.74,12.89,28330.11,112.89,19828.73
1085,20240822,2024-08-22 00:00:00,ACC20002,BL003,EMP00200,V2_Revised,Monthly,Revenue,CC-1489,PROJ-003,26916.88,86804.59,40027.1,85342.13,EMP00209,Approved,EMP00098,,2024-09-05 00:00:00,2024-08-27 00:00:00,59887.71,222.49,-13110.22,322.49,58425.25
1086,20231228,2023-12-28 00:00:00,ACC40001,BL004,EMP00231,V1_Original,Rolling,OPEX,CC-2890,,62790.43,104466.9,68811.74,39188.29,EMP00071,Draft,EMP00216,On Track,2023-12-30 00:00:00,2024-01-14 00:00:00,41676.47,66.37,-6021.31,166.37,-23602.14
1087,20230626,2023-06-26 00:00:00,ACC40003,BL001,EMP00073,V1_Original,Quarterly,Revenue,CC-8471,,31484.64,41563.31,66265.65,22515.48,EMP00229,Approved,EMP00198,,2023-06-28 00:00:00,2023-07-11 00:00:00,10078.67,32.01,-34781.01,132.01,-8969.16
1088,20230530,2023-05-30 00:00:00,ACC10002,BL002,EMP00114,V2_Revised,Quarterly,Headcount,CC-2793,PROJ-003,69895.56,29279.44,25220.96,58844.14,EMP00141,Approved,EMP00009,Over Budget,2023-06-02 00:00:00,2023-06-22 00:00:00,-40616.12,-58.11,44674.6,41.89,-11051.42
1089,20240914,2024-09-14 00:00:00,ACC40001,BL003,EMP00019,V2_Revised,Annual,OPEX,CC-6233,PROJ-003,37309.39,96175.13,32091.37,66643.48,EMP00036,Approved,EMP00147,,2024-09-20 00:00:00,2024-09-15 00:00:00,58865.74,157.78,5218.02,257.78,29334.09
1090,20230605,2023-06-05 00:00:00,ACC30001,BL005,EMP00039,V2_Revised,Annual,Revenue,CC-8966,PROJ-003,92259.94,50910.16,31443.52,5309.87,EMP00021,Approved,EMP00193,Needs Review,2023-06-11 00:00:00,2023-06-19 00:00:00,-41349.78,-44.82,60816.42,55.18,-86950.07
1091,20230502,2023-05-02 00:00:00,ACC30004,BL002,EMP00148,V1_Original,Monthly,OPEX,CC-6414,,2689.25,34341.56,63478.98,87833.08,EMP00001,Approved,EMP00054,Needs Review,2023-05-05 00:00:00,2023-05-22 00:00:00,31652.31,1176.99,-60789.73,1276.99,85143.83
1092,20230822,2023-08-22 00:00:00,ACC20002,BL001,EMP00143,V2_Revised,Annual,Revenue,CC-3058,,17735.68,70653.75,22105.28,22971.66,EMP00182,Pending,EMP00193,,2023-08-25 00:00:00,2023-09-14 00:00:00,52918.07,298.37,-4369.6,398.37,5235.98
1093,20240113,2024-01-13 00:00:00,ACC30004,BL002,EMP00236,V1_Original,Annual,OPEX,CC-7612,,37943.96,18332.32,10846.06,97170.82,EMP00175,Approved,EMP00136,,2024-01-27 00:00:00,2024-01-22 00:00:00,-19611.64,-51.69,27097.9,48.31,59226.86
1094,20250421,2025-04-21 00:00:00,ACC20002,BL004,EMP00178,V2_Revised,Rolling,Headcount,CC-1516,PROJ-002,23872.73,63213.72,33869.6,66618.71,EMP00014,Approved,EMP00247,On Track,2025-05-02 00:00:00,2025-05-15 00:00:00,39340.99,164.79,-9996.87,264.79,42745.98
1095,20231117,2023-11-17 00:00:00,ACC30002,BL001,EMP00189,V3_Final,Monthly,OPEX,CC-3971,,90800.28,44320.79,55380.23,27965.18,EMP00125,Approved,EMP00113,,2023-11-19 00:00:00,2023-12-10 00:00:00,-46479.49,-51.19,35420.05,48.81,-62835.1
1096,20230320,2023-03-20 00:00:00,ACC10001,BL002,EMP00040,V1_Original,Monthly,CAPEX,CC-3917,,23348.82,7164.2,53386.03,49672.98,EMP00125,Approved,EMP00093,,2023-03-27 00:00:00,2023-04-18 00:00:00,-16184.62,-69.32,-30037.21,30.68,26324.16
1097,20240509,2024-05-09 00:00:00,ACC30001,BL002,EMP00141,V3_Final,Monthly,OPEX,CC-3668,PROJ-003,82483.58,59351.12,41151.76,34397.26,EMP00100,Pending,EMP00072,,2024-05-10 00:00:00,2024-06-06 00:00:00,-23132.46,-28.04,41331.82,71.96,-48086.32
1098,20250418,2025-04-18 00:00:00,ACC20001,BL001,EMP00039,V2_Revised,Annual,CAPEX,CC-5926,PROJ-003,72966.06,23983.19,11751.36,93591.02,EMP00163,Approved,EMP00041,Needs Review,2025-04-22 00:00:00,2025-05-14 00:00:00,-48982.87,-67.13,61214.7,32.87,20624.96
1099,20241015,2024-10-15 00:00:00,ACC10002,BL006,EMP00141,V3_Final,Monthly,OPEX,CC-7378,,50096.12,80754.98,31431.84,101844.51,EMP00058,Pending,EMP00159,,2024-10-22 00:00:00,2024-11-11 00:00:00,30658.86,61.2,18664.28,161.2,51748.39
1100,20230817,2023-08-17 00:00:00,ACC30001,BL002,EMP00096,V2_Revised,Project-Based,Headcount,CC-7873,,76238.59,12629,13821.94,86426.56,EMP00249,Pending,EMP00190,Over Budget,2023-08-23 00:00:00,2023-09-05 00:00:00,-63609.59,-83.43,62416.65,16.57,10187.97
1101,20240716,2024-07-16 00:00:00,ACC30003,BL006,EMP00176,V3_Final,Annual,OPEX,CC-6221,PROJ-003,80335.72,40278.89,85763.28,27701.7,EMP00062,Approved,EMP00100,,2024-07-29 00:00:00,2024-07-16 00:00:00,-40056.83,-49.86,-5427.56,50.14,-52634.02
1102,20250812,2025-08-12 00:00:00,ACC40003,BL001,EMP00025,V2_Revised,Project-Based,Revenue,CC-1543,PROJ-002,11292.01,55582.03,14690.93,78409.43,EMP00018,Approved,EMP00232,,2025-08-26 00:00:00,2025-08-15 00:00:00,44290.02,392.22,-3398.92,492.22,67117.42
1103,20240325,2024-03-25 00:00:00,ACC40001,BL006,EMP00048,V2_Revised,Monthly,Headcount,CC-7758,PROJ-001,84339.41,47105.78,76304.46,60763.09,EMP00109,Rejected,EMP00223,Under Budget,2024-04-07 00:00:00,2024-04-07 00:00:00,-37233.63,-44.15,8034.95,55.85,-23576.32
1104,20231231,2023-12-31 00:00:00,ACC30001,BL006,EMP00236,V2_Revised,Monthly,OPEX,CC-2212,PROJ-001,38358.64,32262.45,33743.51,76798.7,EMP00123,Approved,EMP00136,,2024-01-12 00:00:00,2024-01-19 00:00:00,-6096.19,-15.89,4615.13,84.11,38440.06
1105,20250221,2025-02-21 00:00:00,ACC40003,BL005,EMP00142,V3_Final,Annual,OPEX,CC-9360,,37575.47,28107.15,74814.86,12501.36,EMP00067,Rejected,EMP00076,On Track,2025-02-23 00:00:00,2025-03-11 00:00:00,-9468.32,-25.2,-37239.39,74.8,-25074.11
1106,20230401,2023-04-01 00:00:00,ACC20001,BL006,EMP00148,V2_Revised,Quarterly,CAPEX,CC-3825,,44782.46,89343.5,73977.87,74054.78,EMP00202,Pending,EMP00079,,2023-04-03 00:00:00,2023-04-06 00:00:00,44561.04,99.51,-29195.41,199.51,29272.32
1107,20240110,2024-01-10 00:00:00,ACC40001,BL004,EMP00096,V1_Original,Quarterly,CAPEX,CC-5568,,31004.99,51913.45,89605.72,43948.4,EMP00156,Approved,EMP00046,,2024-01-22 00:00:00,2024-01-20 00:00:00,20908.46,67.44,-58600.73,167.44,12943.41
1108,20250607,2025-06-07 00:00:00,ACC20001,BL002,EMP00163,V2_Revised,Project-Based,CAPEX,CC-8979,,98287.14,80475.56,17797.93,51610.24,EMP00096,Approved,EMP00027,Under Budget,2025-06-08 00:00:00,2025-06-07 00:00:00,-17811.58,-18.12,80489.21,81.88,-46676.9
1109,20230206,2023-02-06 00:00:00,ACC30003,BL004,EMP00236,V2_Revised,Annual,OPEX,CC-7629,PROJ-002,10634.03,24859.25,38543.57,28949.93,EMP00086,Approved,EMP00145,,2023-02-11 00:00:00,2023-02-27 00:00:00,14225.22,133.77,-27909.54,233.77,18315.9
1110,20240925,2024-09-25 00:00:00,ACC30004,BL006,EMP00087,V3_Final,Quarterly,CAPEX,CC-6992,PROJ-001,38647.39,61523.49,83603.47,24826.15,EMP00105,Rejected,EMP00161,,2024-10-04 00:00:00,2024-10-07 00:00:00,22876.1,59.19,-44956.08,159.19,-13821.24
1111,20251010,2025-10-10 00:00:00,ACC60001,BL003,EMP00080,V2_Revised,Rolling,CAPEX,CC-1628,PROJ-001,62718.73,29259.86,74481.76,102295.53,EMP00065,Approved,EMP00042,,2025-10-19 00:00:00,2025-10-23 00:00:00,-33458.87,-53.35,-11763.03,46.65,39576.8
1112,20230820,2023-08-20 00:00:00,ACC30001,BL003,EMP00119,V2_Revised,Annual,OPEX,CC-5550,,28865.69,79194.54,9614.89,24271.44,EMP00123,Approved,EMP00042,,2023-08-29 00:00:00,2023-08-30 00:00:00,50328.85,174.36,19250.8,274.36,-4594.25
1113,20240223,2024-02-23 00:00:00,ACC30003,BL001,EMP00048,V3_Final,Monthly,OPEX,CC-3460,,34925.04,103815.09,71891.34,22349.46,EMP00081,Approved,EMP00100,,2024-03-05 00:00:00,2024-03-15 00:00:00,68890.05,197.25,-36966.3,297.25,-12575.58
1114,20230617,2023-06-17 00:00:00,ACC60001,BL001,EMP00097,V2_Revised,Annual,Headcount,CC-1409,,61654.16,78958.6,2153.73,6519.85,EMP00175,Approved,EMP00198,,2023-06-19 00:00:00,2023-06-24 00:00:00,17304.44,28.07,59500.43,128.07,-55134.31
1115,20230605,2023-06-05 00:00:00,ACC20002,BL004,EMP00077,V2_Revised,Monthly,OPEX,CC-3246,PROJ-001,78597.22,17522.58,7189.75,60569.94,EMP00028,Approved,EMP00047,,2023-06-08 00:00:00,2023-07-04 00:00:00,-61074.64,-77.71,71407.47,22.29,-18027.28
1116,20240103,2024-01-03 00:00:00,ACC30003,BL001,EMP00077,V3_Final,Quarterly,CAPEX,CC-6229,,6366.85,82239.43,88681.83,79563.61,EMP00155,Pending,EMP00041,,2024-01-16 00:00:00,2024-01-19 00:00:00,75872.58,1191.68,-82314.98,1291.68,73196.76
1117,20231004,2023-10-04 00:00:00,ACC30001,BL003,EMP00032,V1_Original,Monthly,CAPEX,CC-7566,,99190.77,79804.25,24427,31977.72,EMP00216,Rejected,EMP00161,,2023-10-14 00:00:00,2023-10-10 00:00:00,-19386.52,-19.54,74763.77,80.46,-67213.05
1118,20250918,2025-09-18 00:00:00,ACC60001,BL003,EMP00059,V3_Final,Monthly,OPEX,CC-7245,,20634.16,21229.01,1589.64,99358.14,EMP00230,Rejected,EMP00113,,2025-09-30 00:00:00,2025-10-11 00:00:00,594.85,2.88,19044.52,102.88,78723.98
1119,20251220,2025-12-20 00:00:00,ACC30004,BL006,EMP00008,V2_Revised,Monthly,Revenue,CC-7300,PROJ-002,84776.93,104900.53,90658.32,2139.3,EMP00078,Approved,EMP00080,Needs Review,2026-01-01 00:00:00,2025-12-30 00:00:00,20123.6,23.74,-5881.39,123.74,-82637.63
1120,20230720,2023-07-20 00:00:00,ACC30001,BL003,EMP00245,V3_Final,Project-Based,OPEX,CC-6587,,95156.59,65249.83,9527.48,43765.59,EMP00198,Approved,EMP00198,Over Budget,2023-07-31 00:00:00,2023-08-15 00:00:00,-29906.76,-31.43,85629.11,68.57,-51391
1121,20231227,2023-12-27 00:00:00,ACC10002,BL001,EMP00165,V2_Revised,Quarterly,Revenue,CC-9755,,52442.07,86660.95,53359.99,102617.29,EMP00188,Draft,EMP00069,,2024-01-06 00:00:00,2023-12-29 00:00:00,34218.88,65.25,-917.92,165.25,50175.22
1122,20230104,2023-01-04 00:00:00,ACC10001,BL001,EMP00010,V3_Final,Monthly,Revenue,CC-1113,,78462.37,90733.54,61339.94,66652.19,EMP00019,Approved,EMP00113,Under Budget,2023-01-15 00:00:00,2023-01-30 00:00:00,12271.17,15.64,17122.43,115.64,-11810.18
1123,20230526,2023-05-26 00:00:00,ACC60001,BL004,EMP00112,V3_Final,Monthly,OPEX,CC-6484,,47300.2,21091.83,85975.81,49724.99,EMP00245,Approved,EMP00159,,2023-06-06 00:00:00,2023-05-30 00:00:00,-26208.37,-55.41,-38675.61,44.59,2424.79
1124,20250125,2025-01-25 00:00:00,ACC10001,BL005,EMP00087,V3_Final,Monthly,CAPEX,CC-2086,,67922.35,3787.77,74229.95,70180.78,EMP00122,Pending,EMP00223,,2025-02-03 00:00:00,2025-01-25 00:00:00,-64134.58,-94.42,-6307.6,5.58,2258.43
1125,20250208,2025-02-08 00:00:00,ACC60001,BL005,EMP00087,V3_Final,Monthly,Revenue,CC-3721,,91374.04,2087.03,35833.65,44037.02,EMP00147,Approved,EMP00078,,2025-02-17 00:00:00,2025-03-01 00:00:00,-89287.01,-97.72,55540.39,2.28,-47337.02
1126,20240517,2024-05-17 00:00:00,ACC30004,BL002,EMP00080,V2_Revised,Monthly,OPEX,CC-5898,PROJ-002,98593.15,86232.63,88687.56,56333.7,EMP00049,Pending,EMP00060,,2024-05-30 00:00:00,2024-05-18 00:00:00,-12360.52,-12.54,9905.59,87.46,-42259.45
1127,20241125,2024-11-25 00:00:00,ACC20002,BL001,EMP00176,V2_Revised,Monthly,Revenue,CC-9795,,23837.15,45097.61,23028.96,62401.82,EMP00066,Approved,EMP00020,,2024-12-08 00:00:00,2024-12-11 00:00:00,21260.46,89.19,808.19,189.19,38564.67
1128,20240725,2024-07-25 00:00:00,ACC40003,BL003,EMP00212,V2_Revised,Project-Based,Headcount,CC-4084,,1490.28,102272.42,19566.1,102780.88,EMP00067,Approved,EMP00047,,2024-07-29 00:00:00,2024-07-31 00:00:00,100782.14,6762.63,-18075.82,6862.63,101290.6
1129,20230515,2023-05-15 00:00:00,ACC30001,BL003,EMP00080,V1_Original,Annual,Headcount,CC-4817,PROJ-002,27821.55,71774.47,7034.98,64378.11,EMP00038,Pending,EMP00063,,2023-05-16 00:00:00,2023-06-06 00:00:00,43952.92,157.98,20786.57,257.98,36556.56
1130,20251117,2025-11-17 00:00:00,ACC30001,BL005,EMP00066,V2_Revised,Monthly,Revenue,CC-3173,,41102.34,73145.86,91258.05,32275.3,EMP00129,Approved,EMP00067,,2025-11-23 00:00:00,2025-11-17 00:00:00,32043.52,77.96,-50155.71,177.96,-8827.04
1131,20250304,2025-03-04 00:00:00,ACC10001,BL004,EMP00077,V2_Revised,Quarterly,Revenue,CC-7242,,24694.29,88867.23,41786.01,80957.13,EMP00010,Approved,EMP00047,Over Budget,2025-03-17 00:00:00,2025-03-23 00:00:00,64172.94,259.87,-17091.72,359.87,56262.84
1132,20230617,2023-06-17 00:00:00,ACC10002,BL002,EMP00112,V3_Final,Monthly,OPEX,CC-5731,,64428.66,18510.08,20761.41,32521.98,EMP00215,Approved,EMP00223,,2023-06-18 00:00:00,2023-07-07 00:00:00,-45918.58,-71.27,43667.25,28.73,-31906.68
1133,20230223,2023-02-23 00:00:00,ACC30003,BL003,EMP00177,V2_Revised,Monthly,Revenue,CC-9411,,3267.4,73727.1,60257.61,31190.49,EMP00249,Approved,EMP00121,,2023-02-26 00:00:00,2023-03-13 00:00:00,70459.7,2156.45,-56990.21,2256.45,27923.09
1134,20250721,2025-07-21 00:00:00,ACC10001,BL001,EMP00069,V2_Revised,Monthly,Headcount,CC-9307,,35905.66,103193,27873.18,92545.14,EMP00087,Draft,EMP00113,Under Budget,2025-07-25 00:00:00,2025-08-11 00:00:00,67287.34,187.4,8032.48,287.4,56639.48
1135,20230908,2023-09-08 00:00:00,ACC30003,BL006,EMP00122,V1_Original,Monthly,Headcount,CC-7425,,8084.36,58899.47,53843.9,88841.7,EMP00165,Approved,EMP00242,On Track,2023-09-22 00:00:00,2023-09-16 00:00:00,50815.11,628.56,-45759.54,728.56,80757.34
1136,20230404,2023-04-04 00:00:00,ACC30004,BL003,EMP00178,V1_Original,Quarterly,Revenue,CC-4825,PROJ-002,84284.86,80842.15,19206.82,12404.56,EMP00167,Approved,EMP00100,,2023-04-13 00:00:00,2023-05-03 00:00:00,-3442.71,-4.08,65078.04,95.92,-71880.3
1137,20250524,2025-05-24 00:00:00,ACC20001,BL002,EMP00040,V3_Final,Project-Based,OPEX,CC-3484,,39537.11,81227.36,66419.25,26991.27,EMP00202,Approved,EMP00054,Over Budget,2025-06-05 00:00:00,2025-06-02 00:00:00,41690.25,105.45,-26882.14,205.45,-12545.84
1138,20231114,2023-11-14 00:00:00,ACC10002,BL005,EMP00250,V1_Original,Rolling,CAPEX,CC-1702,PROJ-003,40815.87,19431.85,76642.05,59723.95,EMP00002,Approved,EMP00060,,2023-11-24 00:00:00,2023-12-04 00:00:00,-21384.02,-52.39,-35826.18,47.61,18908.08
1139,20230416,2023-04-16 00:00:00,ACC20002,BL002,EMP00019,V1_Original,Annual,Headcount,CC-7820,,11528.79,18515.94,25885.87,46569.46,EMP00019,Approved,EMP00013,Over Budget,2023-04-30 00:00:00,2023-04-19 00:00:00,6987.15,60.61,-14357.08,160.61,35040.67
1140,20230530,2023-05-30 00:00:00,ACC40001,BL004,EMP00122,V2_Revised,Rolling,OPEX,CC-9145,,83831.67,58501.87,46354.4,88255.73,EMP00075,Approved,EMP00076,,2023-06-11 00:00:00,2023-06-27 00:00:00,-25329.8,-30.22,37477.27,69.78,4424.06
1141,20230911,2023-09-11 00:00:00,ACC30001,BL002,EMP00227,V3_Final,Monthly,OPEX,CC-1331,,89457.71,108148.39,26806.89,6526.61,EMP00025,Approved,EMP00082,Needs Review,2023-09-23 00:00:00,2023-09-16 00:00:00,18690.68,20.89,62650.82,120.89,-82931.1
1142,20230822,2023-08-22 00:00:00,ACC40001,BL006,EMP00165,V2_Revised,Monthly,CAPEX,CC-4689,,34438.48,73391.75,23834.83,71569.21,EMP00058,Draft,EMP00072,On Track,2023-08-29 00:00:00,2023-09-06 00:00:00,38953.27,113.11,10603.65,213.11,37130.73
1143,20241017,2024-10-17 00:00:00,ACC40003,BL005,EMP00097,V1_Original,Monthly,OPEX,CC-5786,,65476.05,86000.88,50589.34,70393.49,EMP00170,Approved,EMP00205,,2024-10-31 00:00:00,2024-11-15 00:00:00,20524.83,31.35,14886.71,131.35,4917.44
1144,20230304,2023-03-04 00:00:00,ACC20001,BL003,EMP00097,V3_Final,Monthly,Revenue,CC-1735,,46782.38,78980.33,24192.53,34692.18,EMP00176,Approved,EMP00063,,2023-03-12 00:00:00,2023-03-07 00:00:00,32197.95,68.82,22589.85,168.82,-12090.2
1145,20251122,2025-11-22 00:00:00,ACC30001,BL001,EMP00143,V1_Original,Quarterly,Revenue,CC-2060,,73228.12,8533.51,14756.47,26922.24,EMP00082,Approved,EMP00080,On Track,2025-12-06 00:00:00,2025-12-17 00:00:00,-64694.61,-88.35,58471.65,11.65,-46305.88
1146,20251002,2025-10-02 00:00:00,ACC40002,BL006,EMP00225,V1_Original,Monthly,Revenue,CC-5136,,18134.36,35549.04,29255.95,93462.47,EMP00191,Approved,EMP00145,,2025-10-16 00:00:00,2025-10-28 00:00:00,17414.68,96.03,-11121.59,196.03,75328.11
1147,20240913,2024-09-13 00:00:00,ACC40001,BL005,EMP00066,V2_Revised,Annual,OPEX,CC-9087,PROJ-001,37626.51,42452.91,624.84,64588.22,EMP00210,Draft,EMP00216,,2024-09-24 00:00:00,2024-09-22 00:00:00,4826.4,12.83,37001.67,112.83,26961.71
1148,20230404,2023-04-04 00:00:00,ACC40002,BL003,EMP00135,V1_Original,Monthly,Revenue,CC-4469,,47906.63,72287.01,44588.28,71680.35,EMP00178,Draft,EMP00121,,2023-04-18 00:00:00,2023-04-07 00:00:00,24380.38,50.89,3318.35,150.89,23773.72
1149,20240824,2024-08-24 00:00:00,ACC30002,BL004,EMP00074,V3_Final,Quarterly,OPEX,CC-1508,,11741.46,100478.59,58360.05,62511.5,EMP00041,Rejected,EMP00216,,2024-08-30 00:00:00,2024-09-16 00:00:00,88737.13,755.76,-46618.59,855.76,50770.04
1150,20240404,2024-04-04 00:00:00,ACC30004,BL002,EMP00143,V2_Revised,Project-Based,Revenue,CC-7451,,40933.76,9333.64,37349.44,98819.54,EMP00118,Approved,EMP00226,,2024-04-07 00:00:00,2024-04-07 00:00:00,-31600.12,-77.2,3584.32,22.8,57885.78
1151,20230606,2023-06-06 00:00:00,ACC30003,BL004,EMP00074,V3_Final,Monthly,OPEX,CC-1445,,4441.78,109515.46,28681.46,79925.83,EMP00152,Approved,EMP00013,,2023-06-10 00:00:00,2023-06-11 00:00:00,105073.68,2365.58,-24239.68,2465.58,75484.05
1152,20240930,2024-09-30 00:00:00,ACC20002,BL004,EMP00194,V1_Original,Rolling,OPEX,CC-3019,,84312.12,5354.55,75609.35,50419.97,EMP00177,Approved,EMP00046,Over Budget,2024-10-12 00:00:00,2024-10-01 00:00:00,-78957.57,-93.65,8702.77,6.35,-33892.15
1153,20251002,2025-10-02 00:00:00,ACC30001,BL001,EMP00119,V1_Original,Project-Based,OPEX,CC-7926,PROJ-001,62231.91,72964.02,32636.93,37917.37,EMP00061,Draft,EMP00063,,2025-10-16 00:00:00,2025-10-22 00:00:00,10732.11,17.25,29594.98,117.25,-24314.54
1154,20231216,2023-12-16 00:00:00,ACC60001,BL003,EMP00110,V2_Revised,Monthly,CAPEX,CC-6493,,47529.3,99478.86,20772.35,52022.74,EMP00235,Approved,EMP00020,,2023-12-21 00:00:00,2024-01-06 00:00:00,51949.56,109.3,26756.95,209.3,4493.44
1155,20230226,2023-02-26 00:00:00,ACC60001,BL006,EMP00087,V2_Revised,Annual,OPEX,CC-3769,,77234.79,49894.62,23656.22,90631.1,EMP00023,Draft,EMP00113,,2023-03-12 00:00:00,2023-03-04 00:00:00,-27340.17,-35.4,53578.57,64.6,13396.31
1156,20230823,2023-08-23 00:00:00,ACC30002,BL002,EMP00034,V2_Revised,Rolling,Revenue,CC-9529,,86102.11,55406.17,84356.85,100920.45,EMP00100,Draft,EMP00020,,2023-08-26 00:00:00,2023-09-13 00:00:00,-30695.94,-35.65,1745.26,64.35,14818.34
1157,20240208,2024-02-08 00:00:00,ACC10002,BL006,EMP00096,V2_Revised,Annual,CAPEX,CC-5619,PROJ-002,82836.69,75515.92,38100.31,1126.23,EMP00016,Approved,EMP00047,Over Budget,2024-02-09 00:00:00,2024-03-02 00:00:00,-7320.77,-8.84,44736.38,91.16,-81710.46
1158,20231222,2023-12-22 00:00:00,ACC10002,BL003,EMP00077,V3_Final,Monthly,Headcount,CC-7505,,74191.63,78637.69,92968.18,8888.09,EMP00041,Draft,EMP00161,,2023-12-30 00:00:00,2024-01-16 00:00:00,4446.06,5.99,-18776.55,105.99,-65303.54
1159,20240710,2024-07-10 00:00:00,ACC50001,BL004,EMP00073,V3_Final,Project-Based,CAPEX,CC-6677,PROJ-002,15563.97,60978.77,77838.76,22882.57,EMP00221,Approved,EMP00079,On Track,2024-07-17 00:00:00,2024-07-16 00:00:00,45414.8,291.79,-62274.79,391.79,7318.6
1160,20230414,2023-04-14 00:00:00,ACC50001,BL005,EMP00149,V2_Revised,Monthly,CAPEX,CC-8145,,90294.83,26038.3,23217.57,56632.19,EMP00076,Approved,EMP00193,,2023-04-25 00:00:00,2023-04-21 00:00:00,-64256.53,-71.16,67077.26,28.84,-33662.64
1161,20230711,2023-07-11 00:00:00,ACC40002,BL002,EMP00194,V1_Original,Monthly,OPEX,CC-2283,,71439.24,3470.3,46277.02,57956.62,EMP00176,Approved,EMP00098,,2023-07-16 00:00:00,2023-07-14 00:00:00,-67968.94,-95.14,25162.22,4.86,-13482.62
1162,20240620,2024-06-20 00:00:00,ACC30001,BL002,EMP00209,V2_Revised,Annual,Headcount,CC-6265,,50078.54,88281.77,18660.02,31900.13,EMP00021,Approved,EMP00041,,2024-06-30 00:00:00,2024-07-14 00:00:00,38203.23,76.29,31418.52,176.29,-18178.41
1163,20251214,2025-12-14 00:00:00,ACC10001,BL006,EMP00175,V2_Revised,Monthly,Revenue,CC-1660,PROJ-001,82451.53,28147.28,67600.32,19252.12,EMP00048,Approved,EMP00009,Under Budget,2025-12-15 00:00:00,2026-01-11 00:00:00,-54304.25,-65.86,14851.21,34.14,-63199.41
1164,20250701,2025-07-01 00:00:00,ACC40003,BL005,EMP00059,V3_Final,Annual,OPEX,CC-9748,,45315.94,62136.23,49867.59,35131.58,EMP00080,Approved,EMP00066,Under Budget,2025-07-03 00:00:00,2025-07-08 00:00:00,16820.29,37.12,-4551.65,137.12,-10184.36
1165,20240522,2024-05-22 00:00:00,ACC50001,BL004,EMP00010,V3_Final,Annual,OPEX,CC-7041,PROJ-003,22968.19,76761.39,44122.89,93759.44,EMP00080,Approved,EMP00067,Under Budget,2024-05-30 00:00:00,2024-05-23 00:00:00,53793.2,234.21,-21154.7,334.21,70791.25
1166,20250116,2025-01-16 00:00:00,ACC20002,BL001,EMP00080,V3_Final,Quarterly,Revenue,CC-5369,,23244.21,102081.07,24921.22,74603.16,EMP00122,Approved,EMP00205,,2025-01-27 00:00:00,2025-01-29 00:00:00,78836.86,339.17,-1677.01,439.17,51358.95
1167,20241022,2024-10-22 00:00:00,ACC40002,BL001,EMP00019,V2_Revised,Quarterly,Headcount,CC-3893,,37494.05,56080.69,46792.48,43328.36,EMP00079,Approved,EMP00076,Needs Review,2024-11-02 00:00:00,2024-10-31 00:00:00,18586.64,49.57,-9298.43,149.57,5834.31
1168,20240401,2024-04-01 00:00:00,ACC60001,BL006,EMP00025,V2_Revised,Quarterly,OPEX,CC-3252,,31672.66,19694,15817.18,54159.14,EMP00200,Pending,EMP00147,,2024-04-02 00:00:00,2024-04-25 00:00:00,-11978.66,-37.82,15855.48,62.18,22486.48
